Sitka,Alaska,2870.31,7434,1941,5027,4811.4,12461,
Juneau,Alaska,2701.9,6998,552,1430,3253.9,8428,31275
Wrangell,Alaska,2541.5,6582,920.6,2384,3462.1,8967,2369
Anchorage,Alaska,1704.7,4415,256.3,664,1961,5079,291826
Jackson,Florida,747,1935,127.6,330,874.6,2265,821784
Anacon,Montana,736.5,1908,4.7,12,741.2,1920,9298
Butte,Montana,716.2,1855,0.6,16,716.8,1857,33525
Oklaho,Oklahoma,606.4,,14.4,37,620.8,1608,579999
Houston,Texas,599.6,1553,27.9,72,627.5,1625,2099451
Phoenix,Arizona,516.7,1338,1.2,31,517.9,1341,1445632
Nashv,Tennessee,475.1,1231,21.7,56,496.8,1287,601222
LA,California,468.7,1214,34,88,502.7,1302,3792621
SA,Texas,460.9,1194,5.8,15,,,
Suffolk,Virginia,400.2,1037,28.9,75,429.1,1111,84585
Buckeye,Arizona,375.3,972,0.1,26,375.4,972,50876
Indiana,Indiana,361.4,936,6.6,17,368,953,820445
Chesap,Virginia,340.8,883,10.1,26,350.9,909,222209
Dallas,Texas,340.5,882,45.3,117,385.8,999,1197816
FortWth,Texas,339.8,880,8,21,347.9,901,741206
Louisvle,Kentucky,325.2,842,17,44,342.2,886,597337
SanDiego,California,325.2,842,47.2,122,372.4,965,1307402
Memphis,Tennessee,315.1,816,8.9,23,324,839,646889
KansasC,Missouri,315,816,4.1,11,319,826,459787
NewYork,NewYork,302.6,784,165.8,429,468.5,,
